ID,SurfaceR,NumberR,TypeR,VegetationR,Surroundings1,Surroundings2,Surroundings3,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
1,600,1,a,4,e,b,h,0,0,50,0,0,0,natural,0,0,0,0,0,0,0
2,700,1,d,1,h,e,h,3,1,75,1,1,0,natural,0,1,1,0,0,1,0
3,200,1,d,1,h,e,h,3,4,75,1,1,0,natural,0,1,1,0,0,1,0
4,300,1,d,0,e,h,b,3,4,25,0,0,0,natural,0,0,1,0,0,0,0
5,600,2,a,4,h,b,e,0,0,99,0,5,0,natural,0,1,1,1,0,1,1
6,200,1,d,1,e,e,h,1,0,50,0,0,0,natural,0,0,0,0,0,0,0
7,500,1,d,0,e,e,h,1,2,25,0,0,0,concrete,0,0,1,0,0,0,0
8,700,1,d,2,h,e,g,0,0,100,1,1,0,natural,1,1,0,1,0,0,0
9,750,2,d,1,e,a,b,0,1,50,1,0,0,natural,0,1,1,0,0,0,0
10,200,1,h,4,b,f,e,0,0,75,1,0,0,natural,0,1,1,0,0,0,0
11,200,1,a,4,b,f,a,0,0,100,2,1,0,natural,1,0,0,0,0,0,0
12,300,1,i,2,a,b,f,0,0,100,2,1,0,natural,0,1,1,0,0,0,0
13,7000,1,a,1,b,e,h,3,3,50,1,5,0,natural,1,0,1,0,0,0,0
14,1700,1,a,1,b,e,h,0,1,100,2,2,2,natural,1,1,1,0,0,0,0
15,8000,1,a,3,b,h,f,0,0,100,9,9,0,natural,0,1,1,0,0,0,0
16,30000,1,a,3,a,a,a,0,0,100,2,10,0,natural,1,1,1,1,1,0,0
17,300,1,h,4,a,a,a,0,0,100,5,10,0,natural,0,1,1,0,1,0,0
18,300,1,j,1,a,a,g,0,0,75,0,5,0,natural,0,1,1,0,0,0,0
19,1600,3,a,0,b,e,b,3,1,75,2,1,0,natural,1,1,1,1,0,0,0
20,3800,6,a,2,e,e,b,3,1,25,0,0,0,natural,1,0,1,0,1,0,0
21,7000,6,a,1,e,h,b,3,4,50,0,0,0,natural,1,0,1,0,0,0,0
22,2500,1,a,3,h,b,e,0,1,100,0,1,0,natural,1,0,1,0,0,1,0
23,800,1,a,0,a,b,f,3,4,100,2,1,0,natural,0,1,1,0,0,0,0
24,1700,1,a,3,h,e,b,0,0,100,0,0,0,natural,0,1,1,0,0,0,0
25,300,1,a,2,f,b,h,0,0,100,5,5,2,natural,1,0,0,0,0,1,0
26,4500,1,a,1,b,b,g,3,2,100,9,9,0,natural,1,1,1,0,1,0,0
27,1000,1,h,4,b,b,a,0,0,100,5,9,0,natural,0,1,0,0,0,0,0
28,7000,1,a,4,b,b,a,0,0,100,5,5,0,natural,0,0,0,1,1,0,1
29,30000,1,a,3,b,b,a,1,0,100,5,5,0,natural,1,1,1,0,0,1,1
30,7000,1,a,3,b,b,f,0,0,100,0,1,0,natural,0,1,1,0,1,0,0
31,3300,1,a,3,b,a,f,0,0,100,5,5,0,natural,0,1,0,0,1,0,0
32,2100,1,a,3,b,g,b,0,0,50,0,1,0,natural,0,0,0,0,1,0,0
33,500,1,a,0,b,h,e,3,4,100,2,1,0,natural,1,1,0,0,0,0,0
34,400,2,a,2,b,h,h,0,0,100,1,5,0,natural,0,1,0,0,0,0,0
35,300,1,a,1,b,h,h,0,0,100,2,2,0,natural,0,1,1,0,0,0,0
36,1100,1,a,0,b,e,h,3,4,100,2,2,0,natural,0,1,1,0,0,0,0
37,1000,1,a,2,b,h,e,0,0,100,1,1,0,natural,0,0,0,1,0,0,0
38,400,1,d,1,e,b,h,1,0,75,2,0,0,natural,0,0,1,0,1,0,1
39,100,1,a,2,b,e,h,0,0,100,1,1,0,natural,0,1,0,0,0,0,0
40,100,1,d,1,f,b,e,3,0,100,2,1,0,natural,1,0,0,0,0,0,0
41,80000,1,h,4,b,b,f,0,0,100,5,5,0,natural,1,0,0,1,1,0,0
