geographic_group;country;children_per_woman_total_fertility;child_mortality_0_5_year_olds_dying_per_1000_born;co2_emissions_tonnes_per_person;corruption_perception_index_cpi;life_expectancy_years;vccin_effect_dag
Eastern Mediterranean;Afghanistan;-10;70.4;0.262;11;61.2;0.058
;Albania;-10;9.6;1.6;36;78;
Africa;Algeria;-10;24.9;3.8;36;77.1;0.078
Americas;Argentina;2.31;11.5;4.64;32;76.5;0.013
Europe;Armenia;-10;14.4;1.65;35;75.3;0.139
Western Pacific;Australia;-10;3.87;16.8;79;82.5;0.043
Europe;Austria;1.49;3.71;7.7;76;81.5;0.118
Europe;Azerbaijan;2.09;26.3;3.86;29;70.5;0.133
South-Eastern Asia;Bangladesh;2.13;36.1;0.467;25;72.5;0.051
;Belarus;-10;4.03;6.29;32;73.8;
Europe;Belgium;-10;3.99;8.84;77;80.9;0.051
;Benin;5.05;99.9;0.555;37;63.5;
Americas;Bolivia;2.92;30.8;1.81;34;72.2;
Europe;Bosnia and Herzegovina;1.35;6.14;5.39;38;76.4;0.26
Africa;Botswana;-10;40.7;2.56;63;66.9;
Americas;Brazil;-10;15.7;2.42;38;75.5;0.045
Europe;Bulgaria;1.55;8.18;6.69;41;74.8;0.071
;Burkina Faso;5.44;86.8;0.182;38;60.7;
;Burundi;5.78;67;0.0386;21;60.8;
;Cambodia;2.59;32;0.545;21;69.3;
;Cameroon;-10;85.8;0.333;27;61.2;
Americas;Canada;1.59;5.28;16;83;81.7;0.105
;Chad;6.05;130;0.0694;22;59.2;
Americas;Chile;-10;7.89;4.55;70;79.6;
Western Pacific;China;-10;10.7;6.91;37;76.5;0.126
Americas;Colombia;-10;15.7;1.96;37;80;0.059
;Comoros;4.45;74.9;0.217;26;68;
Africa;Congo, Dem. Rep.;6.17;97.4;0.0367;22;61.3;0.088
Africa;Congo, Rep.;-10;54.9;0.649;23;62.2;
;Costa Rica;-10;9.05;1.51;55;79.9;
;Cote d'Ivoire;4.97;90;0.405;32;61;
Europe;Croatia;1.47;4.88;4.22;51;77.6;
;Cyprus;1.35;2.74;5.99;61;81.5;
Europe;Czech Republic;1.52;3.15;9.89;56;78.8;0.073
Europe;Denmark;-10;4.22;6.19;91;80.9;0.042
Americas;Dominican Republic;2.45;31.3;2.29;33;72.8;
Americas;Ecuador;2.51;15.1;2.63;32;76.6;0.021
Africa;Egypt;3.31;23.6;2.37;36;70.2;
